CPT Missing Sheds — Assumed RFID Mapping
Counting DB date: 17/07/2026

Tag, shed, breed, type, and kid/adult values come from the CPT Counting DB DB tab.

SUMMARY
Missing sheds: 21
Synthetic RFID rows: 407
Kid: 407 | Adult: 0
Sheep: 298 | Goat: 109

ASSUMED_RFID	TAG	SHED	TYPE	BREED	KID_ADULT
ASSUMED-RFID-0280	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0281	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0282	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0283	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0284	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0285	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0286	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0287	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0288	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0289	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0290	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0291	F2-Female	Mandela 2 - Part 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0292	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0293	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0294	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0295	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0296	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0297	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0298	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0299	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0300	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0301	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0302	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0303	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0304	F2-Male	Mandela 2 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0305	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0306	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0307	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0308	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0309	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0310	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0311	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0312	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0313	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0314	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0315	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0316	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0317	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0318	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0319	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0320	F2-Female	Mandela 2 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0321	ICU-Kid	Yashoda 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0322	ICU-Kid	Yashoda 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0323	ICU-Kid	Yashoda 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0324	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0325	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0326	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0327	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0328	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0329	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0330	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0331	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0332	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0333	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0334	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0335	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0336	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0337	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0338	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0339	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0340	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0341	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0342	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0343	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0344	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0345	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0346	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0347	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0348	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0349	K3	Yashoda 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0350	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0351	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0352	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0353	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0354	K2	Yashoda 4	Goat	Sojat	Kid
ASSUMED-RFID-0355	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0356	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0357	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0358	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0359	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0360	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0361	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0362	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0363	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0364	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0365	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0366	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0367	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0368	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0369	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0370	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0371	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0372	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0373	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0374	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0375	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0376	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0377	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0378	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0379	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0380	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0381	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0382	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0383	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0384	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0385	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0386	K2	Yashoda 4	Goat	Beetal	Kid
ASSUMED-RFID-0387	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0388	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0389	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0390	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0391	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0392	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0393	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0394	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0395	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0396	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0397	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0398	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0399	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0400	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0401	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0402	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0403	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0404	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0405	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0406	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0407	K2	Yashoda 4	Sheep	Anantapur Sheep	Kid
